days,daily_dust_count,daily_dust_std
2021/12/06,2,0.316227766016838
2021/12/07,2,0
2021/12/08,2,0
2021/12/09,8,0
2021/12/10,6,0
2021/12/11,10,0
2021/12/12,14,0
2021/12/13,4,0
2021/12/14,3.5,0.918936583472681
2021/12/15,3.5,0.52704627669473
2021/12/16,5,0.421637021355784
