year,month,day,duty cycle [day],tds_fit [/day],svm_fit [/day],cnn_fit [/day]
2020,11,3,0.06152930342959747,88.30899677610975,129.192009878843,117.86907224373545
2020,11,4,0.06200385223332458,89.07472242036712,129.70755627525534,118.38004169208067
2020,11,5,0.06199227787225806,89.86502628293252,130.23965065066503,118.90741220880376
2020,11,6,0.06199227787225806,90.68064593788458,130.78878959763261,119.45167597778666
2020,11,7,0.06199227787225806,91.5223549452148,131.3554939372499,120.01334919634505
2020,11,8,0.06188810862265943,92.39096165410785,131.94030791341447,120.59297127665617
2020,11,9,0.06194598042799201,93.28731179539696,132.54380093827385,121.19110657570685
2020,11,10,0.06147143162426489,94.21228824710965,133.16656743437207,121.80834423884184
2020,11,11,0.06194598042799201,95.16681476344979,133.8092293452924,122.44530068811711
2020,11,12,0.06194598042799201,96.15185590116843,134.47243608608431,123.10261957316712
2020,11,13,0.06195755478905852,97.16842073667041,135.1568670459104,123.78097425163338
2020,11,14,0.06191125734479246,98.21756123880206,135.86323049247972,124.48106670332442
2020,11,15,0.062108021482923215,99.30037837363395,136.5922676822652,125.20363160394284
2020,11,16,0.06213117020505624,100.4180224227375,137.34475307479218,125.94943653747175
2020,11,17,0.061830236817326856,101.57169314352055,138.12149444058898,126.71928210316685
2020,11,18,0.06215431892718928,102.76264506932611,138.92333642962777,127.5140054523172
2020,11,19,0.06213117020505624,103.99218805119193,139.7511609360797,128.33448064976216
2020,11,20,0.06214274456612276,105.26168998164752,140.605888932188,129.1816204914834
2020,11,21,0.06211959584398973,106.57257890553797,141.48848188943964,130.05637791315988
2020,11,22,0.06215431892718928,107.92634697151561,142.39994443901864,130.959748627002
2020,11,23,0.06220061637145533,109.32453041072102,143.34131089188804,131.89275776150612
2020,11,24,0.06185338553945988,110.76879298707917,144.31370142405666,132.8565155479168
2020,11,25,0.06213117020505624,112.26083451334358,145.3182604824243,133.8521562728959
2020,11,26,0.06220061637145533,113.80238381674084,146.3561520487034,134.88083358449066
2020,11,27,0.06220061637145533,115.39530378398717,147.42863036394056,135.94379058877294
2020,11,28,0.061564026512797014,117.04152060477142,148.53699228969498,137.04231263394823
2020,11,29,0.06247767763948504,118.74304124212026,149.68258907045464,138.1777389683468
2020,11,30,0.06245525231491866,120.50195759538713,150.86682913648616,139.35146551839046
2020,12,1,0.062142021168556105,122.32045038965884,152.09118072248765,140.564947483997
2020,12,2,0.062432103592785636,124.20078935421046,153.35717198773824,141.81969945766346
2020,12,3,0.062108021482923215,126.14533818217006,154.6663943553326,143.11729873405505
2020,12,4,0.06242052923171912,128.1565560990613,156.02050356824623,144.45938635669518
2020,12,5,0.062443677953852146,130.23700032331425,157.42122134594405,145.84766875986648
2020,12,6,0.06197925671605823,132.38932812820204,158.8703367726372,147.28391914454335
2020,12,7,504.0178793360342,134.61629954240718,160.36970811551566,148.7699792804822
2020,12,8,87.0880043008546,136.9207760666837,161.92126196070484,150.307758649849
2020,12,9,0.062108021482923215,139.30572558354928,163.5269965188543,151.89923772346143
2020,12,10,0.06213117020505624,141.77422061938674,165.18898045504844,153.5464668010876
2020,12,11,0.06211959584398973,144.32943879660863,166.9093531932392,155.25156631317589
2020,12,12,0.062108021482923215,146.97466218037417,168.69032447640484,157.01672638491857
2020,12,13,0.06211959584398973,149.71327701573452,170.53417418957542,158.84420666084856
2020,12,14,0.06218904201038882,152.5487683610834,172.4432487466521,160.73633272373587
2020,12,15,0.06180708809519383,155.48472191755337,174.41996232209976,162.69549731534568
2020,12,16,0.06218904201038882,158.52481949521768,176.46679379843965,164.7241573110303
2020,12,17,0.06218904201038882,161.67283256117,178.58628242231163,166.82482941435683
2020,12,18,0.06218904201038882,164.93263770842145,180.78103821934604,169.00010047951673
2020,12,19,0.06218904201038882,168.30816445264009,183.05370684684513,171.2525926760406
2020,12,20,0.06206172403865715,171.80361620851795,185.4071183723578,173.58511094653738
2020,12,21,0.06200385223332458,175.42279465271224,187.843832381965,176.00019215344457
2020,12,22,0.061783939373060794,179.17183913486,190.36798236604344,178.50193309059523
2020,12,23,0.06199227787225806,183.050338274141,192.979291350848,181.09005924317802
2020,12,24,0.06213117020505624,187.08566067307098,195.69618602027992,183.78283370559802
2020,12,25,0.06199227787225806,191.22234350161492,198.4813244590282,186.54324607879235
2020,12,26,0.06198070351119155,195.80767571740722,201.5685287572434,189.6030426134314
2020,12,27,0.06207329839972367,198.16587403322367,203.15625231445011,191.17667058522275
2020,12,28,0.06211887244642308,202.52005149087088,206.0878251492698,194.08221733060952
